Employee_ID,Department,Salary_USD,Performance_Score
1,Engineering,51093.94794604893,6
2,HR,57257.666238986916,7
3,Finance,54810.09231736713,4
4,HR,52238.84024279132,7
5,HR,42095.25544554688,9
6,Marketing,54714.68357135996,2
7,Finance,68820.24496475034,3
8,Finance,63454.20046154978,5
9,Finance,65931.86626639398,3
10,HR,44887.843235688146,8
11,Engineering,40103.95179741419,10
12,Finance,48742.13079900352,8
13,HR,50557.24912288695,8
14,Marketing,60941.91518470948,9
15,Engineering,33075.353702851804,4
16,Marketing,65295.503194606135,5
17,Engineering,48419.92101421011,5
18,HR,45731.1893005258,8
19,Sales,39878.956247398324,7
20,Engineering,33451.43328134231,9
21,Marketing,58231.70583961914,8
22,HR,50733.17967188404,2
23,Engineering,37100.39100258946,10
24,Sales,37049.21227936384,4
25,Sales,46642.15300709872,6
26,Finance,66690.21525289393,2
27,Finance,47404.08648636395,7
28,Marketing,34968.570468818936,3
29,Engineering,47542.56935914056,3
30,Engineering,47272.7643025233,2
31,Finance,23031.133570584283,8
32,Engineering,49457.05133482188,6
33,Engineering,47690.65469791322,1
34,Sales,56962.063648134186,1
35,Finance,68489.56094945344,7
36,HR,61265.65029547757,8
37,Finance,47311.11309445169,5
38,HR,38934.74091258329,5
39,Sales,75733.5980324986,4
40,Marketing,50592.184340144886,6
41,Engineering,50139.29291912946,6
42,Sales,49758.749128899966,3
43,Engineering,51980.84760767855,9
44,Marketing,48556.395880760574,7
45,Marketing,44263.37993119764,1
46,Sales,44531.41058759608,7
47,Marketing,49672.46729784002,5
48,HR,44565.75228866235,5
49,Marketing,42871.54217322836,2
50,Engineering,51064.30227691897,4
51,Engineering,47450.227825791444,6
52,Engineering,65039.92988582689,10
53,Engineering,23490.30191606988,7
54,HR,60915.06851922462,5
55,Finance,62460.85192497629,9
56,Sales,29266.097675918507,3
57,Engineering,46573.12405919651,1
58,Marketing,46285.59134004208,4
59,Engineering,35924.88305282179,9
60,Marketing,42221.833124091245,4
61,Marketing,38894.24154534171,2
62,Engineering,67522.70443423622,10
63,HR,59356.78393147461,5
64,Marketing,62715.550949941586,3
65,Marketing,57216.72064043235,9
66,Engineering,38709.482287827705,4
67,Marketing,44754.79733720226,6
68,Marketing,54893.74561227918,2
69,Engineering,37778.721911080545,6
70,Engineering,57129.98430172388,3
71,Sales,47596.74601841865,9
72,HR,46251.791924504025,2
73,HR,57109.59968203492,9
74,Marketing,54442.6331148604,5
75,HR,46390.3383418092,8
76,Marketing,61593.29803364248,2
77,Sales,39189.366724001025,6
78,Engineering,56159.35606944264,3
79,Engineering,55931.01257968384,10
80,Engineering,46904.535606860096,5
81,HR,53261.33022242118,8
82,Sales,37488.86423614697,10
83,HR,59240.27019206901,1
84,HR,48150.97863557011,5
85,Sales,44772.7697948096,3
86,Sales,60490.092258368895,4
87,Sales,42956.56309457241,2
88,Sales,35915.3870363644,9
89,Engineering,34433.708264760964,3
90,Finance,56060.0995134564,2
91,Finance,37195.706475037165,10
92,Sales,67547.94181984365,9
93,Finance,29180.70592116278,7
94,Finance,66964.56368290038,6
95,Sales,52110.17467202619,1
96,Finance,49032.868881296075,5
97,HR,44550.8091319105,3
98,Marketing,53991.361143520706,1
99,Marketing,49623.652975751516,4
100,Sales,61033.01882016521,2
101,Engineering,51142.276486620394,2
102,Sales,51503.01761461877,3
103,Engineering,46363.87787786144,8
104,Marketing,49430.543762789326,8
105,Sales,53078.01768892059,7
106,HR,32898.31607343374,6
107,Finance,36518.14577894287,9
108,Engineering,57432.64094022715,4
109,Finance,51708.65438127942,1
110,Finance,48160.16663647321,8
111,Sales,50184.33933065393,7
112,Finance,53475.81705361671,7
113,HR,44602.40319690639,3
114,Finance,42216.95274597687,4
115,Sales,51958.452550976814,10
116,HR,40216.27222384968,9
117,Marketing,54082.52755714472,6
118,Finance,32974.1639576216,5
119,Sales,60291.55637325643,3
120,Marketing,54725.97482413043,9
121,Marketing,52560.29734313876,5
122,Engineering,59826.90983945514,5
123,HR,66654.74444462577,4
124,Finance,60143.7006501813,4
125,Sales,31591.257686683548,1
126,Engineering,37204.23033264298,7
127,HR,43751.81422304321,9
128,Engineering,50260.91050210834,3
129,HR,55176.59020469123,2
130,HR,42742.561868465345,3
131,Finance,51867.66764477079,1
132,HR,42446.170676466776,6
133,Engineering,43884.82197008052,7
134,HR,35933.38903151778,2
135,Finance,40767.66753889096,8
136,Finance,36483.15394383666,6
137,Engineering,40241.267470226674,4
138,Marketing,60536.4179660784,5
139,Marketing,40506.01111168057,8
140,HR,76323.8206483739,3
141,Sales,54933.17900880889,3
142,HR,51848.36123694874,4
143,Engineering,41416.422198187865,1
144,Engineering,57003.098794089914,9
145,Engineering,44243.62173762226,8
146,Engineering,51220.098146453616,8
147,Engineering,75600.84538268794,10
148,Finance,49039.401002753504,6
149,Marketing,61492.73326285676,7
150,Engineering,42968.23574874113,6
151,Sales,49650.115095030385,9
152,Sales,67708.0063563551,3
153,Sales,43730.329422122326,3
154,Sales,68124.48557996929,3
155,Finance,57077.51935455475,10
156,Sales,44375.332241057324,3
157,Engineering,56324.07739055521,9
158,HR,59725.5444962673,4
159,Sales,56218.09962217196,7
160,Finance,34297.752801095434,9
161,Finance,42728.628241751314,7
162,Sales,47524.81364448495,9
163,HR,49255.665708999535,3
164,Sales,56206.72097550678,4
165,Finance,51777.01000933254,8
166,Marketing,36646.556412898986,6
167,Engineering,53801.978510059635,5
168,Finance,56105.85745283823,4
169,Sales,55597.9044793104,8
170,Engineering,60807.80725554622,1
171,Sales,58339.22154548904,9
172,Sales,54591.80079228437,1
173,Marketing,49298.34288541353,8
174,Engineering,33390.39066484009,4
175,Engineering,54296.18219132586,9
176,Marketing,52076.87687163111,5
177,Finance,52715.788371953735,3
178,Sales,37232.514241796904,9
179,HR,39189.43459591738,9
180,Sales,60531.52853332904,4
181,Sales,49604.44846143345,4
182,Finance,56815.006973726246,8
183,Sales,50283.18376130461,2
184,Marketing,50297.561394957454,9
185,Marketing,59382.838059759975,6
186,Engineering,44839.552717826264,9
187,HR,50961.20776940983,8
188,Sales,45377.247112949575,7
189,Sales,45655.03772567684,1
190,Finance,46908.278765313604,3
191,Marketing,52221.337716337126,2
192,HR,45212.513783365226,5
193,Engineering,62557.56125573521,5
194,Marketing,41053.926977804964,5
195,Engineering,48131.28355838641,4
196,Finance,45602.689417258254,5
197,Finance,64469.77884353733,3
198,Sales,51965.54776511575,1
199,HR,60318.44539468635,5
200,Engineering,35144.39626963028,9
201,Marketing,52670.50265869259,9
202,Finance,58896.30795623437,4
203,Sales,50822.839892754244,3
204,Sales,60654.80375065351,1
205,Engineering,44827.11549899628,2
206,Finance,64093.4744018558,8
207,HR,72988.9812361925,1
208,Finance,46371.61439560341,8
209,Engineering,45544.97478599228,7
210,Engineering,64533.84477117701,8
211,Finance,65795.72145730713,6
212,Engineering,44771.39972846732,9
213,Finance,45798.13182904143,3
214,Marketing,47182.153911394926,10
215,Finance,36555.49488965723,4
216,Finance,40813.480535158014,6
217,Engineering,39958.592332479326,8
218,Engineering,42322.024348958716,5
219,Sales,49653.15112613219,3
220,Sales,52342.14732536521,6
221,Marketing,65505.00492814077,4
222,Sales,40016.45959261209,9
223,Finance,59843.223984765835,3
224,Engineering,47860.11155774491,4
225,Sales,49505.362903475674,7
226,Sales,56748.194921666036,7
227,Marketing,38772.77978437701,4
228,Marketing,53824.09746184051,6
229,Finance,51664.52208213056,3
230,Engineering,54924.51264008149,6
231,Marketing,52891.686439078185,2
232,Sales,74553.00139910894,8
233,Engineering,43622.60015748684,2
234,Engineering,44690.03044998182,7
235,Sales,43768.594735752355,9
236,Marketing,44445.228808397456,1
237,Sales,43626.128726934825,8
238,Engineering,61890.165311075514,7
239,HR,64205.04247989855,6
240,HR,44292.53706250524,6
241,Finance,41676.44426895771,6
242,Sales,54714.15556386404,9
243,Sales,44477.76955719029,2
244,Finance,56329.318177555106,1
245,Finance,52029.230208513,6
246,Finance,34842.55885002768,10
247,Engineering,65475.052013300614,8
248,Sales,67958.77673095521,3
249,Engineering,43872.113095156135,10
250,Finance,46122.98440064016,1
251,Sales,52858.65390724905,9
252,Engineering,53344.56789987025,1
253,Engineering,56585.4427267283,3
254,Finance,70102.0453876635,8
255,Sales,48230.5277250595,3
256,Finance,42017.02755461546,4
257,Sales,36206.807719854725,8
258,HR,42690.69960058081,1
259,Marketing,49668.73027126203,6
260,Marketing,67945.57863517788,1
261,Marketing,44823.88700963829,1
262,Finance,52237.87951638899,8
263,HR,49835.77103927248,4
264,Sales,61883.93273448084,1
265,Engineering,75269.32425873622,10
266,Sales,44691.31227079679,7
267,Engineering,45105.605574817775,5
268,Sales,60441.60877069072,5
269,HR,56818.914896263115,1
270,Engineering,68467.07325736033,10
271,Finance,55839.28185325964,6
272,Sales,46407.0790921294,9
273,Sales,55906.54830692309,9
274,Engineering,61087.03580582907,8
275,Finance,58204.82181197364,5
276,Finance,55072.74031107298,1
277,HR,60666.74689589154,9
278,Finance,61692.95590445673,1
279,Finance,63821.589910375274,8
280,Finance,56487.09887589642,5
281,Marketing,48328.81919683146,3
282,HR,51467.13686433323,7
283,Sales,62065.089665083564,7
284,Engineering,41830.64329012764,9
285,Sales,53686.733088729015,7
286,HR,46066.61187672639,3
287,Engineering,50287.44822934818,1
288,HR,62784.51862607299,8
289,Finance,51910.99068019904,3
290,Engineering,50464.36548156149,8
291,Finance,36401.43859020081,8
292,Sales,57462.53566027221,5
293,Sales,56454.841811410755,1
294,Engineering,71632.5472330546,10
295,Engineering,46922.21765046999,7
296,HR,52191.50327663939,10
297,HR,52493.836837107556,5
298,Finance,65774.53279763475,8
299,Engineering,49047.04467613048,9
300,Sales,52790.21525770339,7
301,HR,56078.96509716539,7
302,HR,51866.09123156358,1
303,Sales,45535.66385449472,4
304,HR,51940.899928983075,2
305,Finance,60736.317498597724,2
306,Engineering,39734.8470058894,2
307,Sales,51329.69674146876,4
308,Engineering,42998.791850608264,1
309,HR,61950.46628924843,4
310,HR,34768.13095216225,2
311,Sales,44410.78152728412,5
312,Finance,53772.11875064521,3
313,Marketing,65655.2402923434,8
314,Sales,49342.497389270124,4
315,Marketing,44448.00473306802,1
316,Marketing,68811.5706944059,1
317,Finance,35519.86099583756,10
318,Marketing,28011.94043379918,3
319,Marketing,54400.14450053332,9
320,Finance,44979.45775647389,7
321,Marketing,39787.671828692866,2
322,Marketing,57083.56447299353,9
323,Marketing,52438.00713771199,10
324,Sales,44359.213692632715,2
325,Sales,37196.956013291056,3
326,Sales,58724.573282801444,10
327,Finance,56502.01177958661,2
328,HR,49008.24136220617,3
329,Marketing,68466.36996047666,6
330,Marketing,39299.15233673847,9
331,Finance,34744.748290752614,9
332,Marketing,43080.919301187554,7
333,Sales,49544.13983644502,3
334,HR,52433.394493226915,4
335,Engineering,47587.6394214367,6
336,Marketing,53520.55396514297,5
337,Sales,37484.60575809556,2
338,Engineering,64437.646040732594,6
339,HR,49178.488216074315,3
340,Engineering,61172.958315881275,8
341,Sales,53427.253463777044,2
342,Engineering,54567.53219153784,1
343,Finance,55697.67280232204,9
344,Engineering,54477.08560017315,3
345,Marketing,56427.22759867544,1
346,Marketing,63291.52530132431,7
347,Finance,51965.2116970147,10
348,Sales,57090.03757588512,5
349,Marketing,49102.64305712773,5
350,HR,64401.17215449473,1
351,Marketing,43236.076979407306,9
352,Marketing,68009.40432910816,7
